name,type,attribute,time,lat,lng
JR三島駅南口,トイレ,,24時間(0時消灯）,35.12584393,138.9109736
白滝公園,トイレ,,24時間,35.12317628,138.914085
菰池公園,トイレ,,24時間,35.12526478,138.9159947
楽寿園南口（源兵衛川近く）,トイレ,,24時間,35.12491377,138.9109521
三嶋大社,トイレ,,8：00～18：00,35.12089467,138.9200931
三島市役所大社町別館,トイレ,,8：30～21：30,35.11935016,138.9193421
三石神社,トイレ,,24時間,35.11866565,138.9119607
水の苑緑地,トイレ,,24時間,35.11552386,138.9137846
南田町広場,トイレ,,24時間,35.11115324,138.9159303
佐野美術館,トイレ,,10：00～17：00,35.11492708,138.9162093
東町うるおい広場,トイレ,,24時間,35.118276,138.92677
楽寿園,名所,一番町19-3,"トイレ,駐車場,多目的トイレ",35.124884,138.910918
白滝公園,名所,一番町1-1,"複合遊具,トイレ,多目的トイレ",35.123037,138.91426
菰池公園,名所,大宮町3-20-1,"すべり台,ブランコ,鉄棒,ｽﾌﾟﾘﾝｸﾞ遊具,その他遊具,トイレ,多目的トイレ",35.125463,138.915816
間眠神社,名所,東本町2-11-38,"すべり台,ブランコ,鉄棒",35.114478,138.922113
三ツ石公園,名所,広小路町13-1,"トイレ,多目的トイレ",35.118388,138.912026
若宮公園,名所,西若町8-7,"すべり台,ブランコ,鉄棒",35.121168,138.906133
長伏公園,名所,長伏274-3,"すべり台,ブランコ,うんてい,ｽﾌﾟﾘﾝｸﾞ遊具,複合遊具,その他遊具,トイレ,駐車場,多目的トイレ",35.083701,138.911176
子供の森公園,名所,観音洞4704-800,"ｱｽﾚﾁｯｸ,トイレ,駐車場",35.14181,138.962266
萩公園,名所,萩829-1,"すべり台,ブランコ,鉄棒,トイレ",35.152102,138.909526
光ケ丘公園,名所,光ケ丘21-2,"すべり台,ブランコ,鉄棒,その他遊具",35.136096,138.927022
虹公園,名所,光ケ丘49-3,,35.134216,138.923648
つつじ公園,名所,谷田字梨ノ木山1997-1,"すべり台,ブランコ,鉄棒",35.10921,138.943067
つばき公園,名所,谷田字石原山1969-5,すべり台,35.107767,138.942021
鶴見公園,名所,谷田字新福寺山1950-1,"すべり台,ブランコ,鉄棒",35.105278,138.937982
城山公園,名所,字城山4042-7,"すべり台,ブランコ,鉄棒,ｼﾞｬﾝｸﾞﾙｼﾞﾑ,トイレ",35.129471,138.927443
北沢公園,名所,北沢53-1,"ブランコ,鉄棒,複合遊具,トイレ",35.102557,138.935401
ひなた公園,名所,芙蓉台1-21-14,"ブランコ,鉄棒",35.151705,138.912436
坂下公園,名所,芙蓉台1-5-8,"すべり台,ブランコ,鉄棒",35.151054,138.9136
ふよう公園,名所,芙蓉台2-1-11,"すべり台,ブランコ,鉄棒",35.153604,138.915043
あじさい公園,名所,芙蓉台2-3-16,"鉄棒,ｽﾌﾟﾘﾝｸﾞ遊具,複合遊具",35.154782,138.918254
